,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
97,3.0101,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691
98,3.6988,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308
99,4.6921,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912
100,4.0191,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73
101,3.0199,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068
102,3.1889,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981
103,3.3521,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5
104,3.4001,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398
105,3.2789,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802
106,2.77,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299
107,2.291,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999
108,0.439,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501
109,1.7699,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391
110,0.6091,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799
111,0.6121,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319
112,1.4489,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501
113,0.7689,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891
114,1.4521,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199
115,0.359,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43
116,1.1801,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35
117,0.7809,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34
118,0.9489,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589
119,2.2701,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201
120,1.7691,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201
121,3.1308,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019
122,3.3912,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728
123,3.73,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728,2.932
124,4.068,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728,2.932,2.429
125,3.981,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728,2.932,2.429,2.44
126,3.5,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728,2.932,2.429,2.44,2.2699
127,4.2398,4.0802,3.9299,2.0999,1.2501,1.3391,0.6799,0.9319,0.7501,1.0891,1.4199,1.43,1.35,0.34,1.2589,0.9201,1.4201,2.1019,2.728,2.932,2.429,2.44,2.2699,3.2591
